Kevin Love,0.890243902,1.183673469,24.39,0.670731707,0.869565217,25.41,0.219512195,1.045454545,17.97,0.93902439,1.76,26.97,19.11
Kevin Durant,0.951219512,0.979166667,23.7,0.804878049,0.921052632,26.26,0.987804878,1.314285714,28.35,0.987804878,1.571428571,29.9,27.73
Russell Westbrook,1,2.117647059,23.63,0.804878049,1.527777778,23,1,2.242424242,23.98,0.56097561,1.815789474,24.74,29.62
Mo Williams,0.707317073,2.222222222,13.93,0.634146341,1.823529412,15.02,0.56097561,2.296296296,14.47,0.902439024,2.15,11.87,15.83
Pau Gasol,1,1.926829268,23.33,0.792682927,1.681818182,20.51,0.597560976,1.952380952,16.75,0.731707317,1.416666667,19.34,22.89
Amar'e Stoudemire,0.951219512,0.807017544,22.78,0.573170732,0.458333333,17.73,0.353658537,0.235294118,22.16,0.792682927,0.357142857,18.89,19.8
Zach Randolph,0.914634146,1.077777778,22.67,0.341463415,1.214285714,17.96,0.926829268,0.7,17.92,0.963414634,1.086956522,18.37,19.77
Tim Duncan,0.926829268,1.65625,21.94,0.707317073,1.352941176,22.6,0.841463415,1.285714286,24.45,0.902439024,1.428571429,21.4,21.94
Blake Griffin,1,1.396039604,21.93,0.804878049,1.391304348,23.5,0.975609756,1.608695652,22.44,0.975609756,1.392857143,23.98,22.64
Carmelo Anthony,0.93902439,1.074468085,21.82,0.670731707,1.384615385,21.15,0.817073171,1,24.83,0.93902439,1.192307692,24.5,21.74
Manu Ginobili,0.975609756,2.252525253,21.78,0.414634146,2.315789474,24.18,0.731707317,2.090909091,19.05,0.829268293,2.15,20.06,16.51
LaMarcus Aldridge,0.987804878,1.113924051,21.57,0.670731707,1.2,22.73,0.902439024,1.368421053,20.45,0.841463415,1.444444444,21.84,22.77
Kevin Martin,0.975609756,1.073684211,21.46,0.487804878,1.555555556,16.6,0.93902439,1.076923077,16.09,0.829268293,1.125,16.37,17.06
Deron Williams,0.792682927,2.901785714,21.19,0.670731707,2.175,20.34,0.951219512,2.75,20.38,0.780487805,2.772727273,17.69,15.25
Al Horford,0.93902439,2.23255814,20.79,0.134146341,1.466666667,19.02,0.902439024,1.6,19.84,0.353658537,1.181818182,22.08,20.92
David West,0.853658537,1.157894737,20.51,0.804878049,1.5,17.84,0.890243902,1.318181818,20.15,0.975609756,1.647058824,17.55,16.16
Martell Webster,0.56097561,0.923076923,12.44,0.573170732,0.9,10.02,0.926829268,1.583333333,13.89,0.951219512,1.714285714,11.56,4.3
Omri Casspi,0.865853659,1,11.76,0.792682927,1,11.26,0.524390244,1.4,12.94,0.865853659,1.2,12.91,13.01
Greg Monroe,0.975609756,1.288659794,18.07,0.804878049,0.939849624,22.09,0.987804878,1.201492537,19.52,1,1.027272727,18.16,21.15
